Location,Establishment ,Address ,Website
Back Bay,Corner Tavern,"421 Marlborough St, Boston, MA 02115",http://thecornerboston.com/
Back Bay,Bukowski Tavern,"50 Dalton St, Boston, MA 02115",http://bukowskitavern.net/
Back Bay,Coda,"329 Columbus Ave, Boston, MA 02116",http://www.codaboston.com/index.htm
Back Bay,City Bar,"61 Exeter St, Boston, MA 02116",http://www.citybarboston.com/
Back Bay,Lolitas Tequila Bar,"271 Dartmouth St, Boston, MA 02116",http://www.lolitatequilabars.com/locations/boston
Back Bay,The Pour House,"907 Boylston St #21, Boston, MA 02115",http://www.pourhouseboston.com/
Back Bay,CrossRoads Irish Pub,"495 Beacon St, Boston, MA 02215",http://www.crossroads-irishpub.com/
Back Bay,Solas,"710 Boylston St, Boston, MA 02116",http://www.solasboston.com/
Back Bay,Bar 10 (Westin Copley),"10 Huntington Ave, Boston, MA 02116",http://bar10boston.com/
Back Bay,The Brahmin,"33 Stanhope St, Boston, MA 02116",http://thebrahmin.com/
Back Bay,McGreevy's,"911 Boylston St, Boston, MA 02115",http://www.mcgreevysboston.com/
Back Bay,Storyville ,"90 Exeter St, Boston, MA 02116",http://storyvilleboston.com/
Back Bay,Dillons (Glynn Group Managed),"955 Boylston St, Boston, MA 02115",http://www.dillonsboston.com/
Back Bay,MJ O'Connors,"27 Columbus Avenue, Boston MA 02116",http://www.mjoconnors.com/
Back Bay,Clery's (Glynn Group),"113 Dartmouth St, Boston, MA 02116",http://www.clerysboston.com/
Back Bay,The Taj Bar,"15 Arlington St, Boston, MA 02116",http://www.tajhotels.com/Luxury/City-Hotels/Taj-Boston-Boston/Fine-Dining/The-Cafe-Restaurant.html
Back Bay,Brownstone (Glynn Group),"111 Dartmouth St, Boston, MA 02116",http://www.brownstoneboston.com/
Back Bay,Champion's Sports Bar,"110 Huntington Ave, Boston, MA 02116",http://www.championsboston.com/
Back Bay,Venom (Rattlesnake),"384 Boylston St, Boston, MA 02116",http://rattlesnakebarandgrill.com/
Back Bay,Precinct (Leows Hotel),154 Berkeley Street Boston MA 02116,http://precinctkitchenandbar.com/
Back Bay,Whiskeys,"885 Boylston St, Boston, MA 02116",http://www.whiskeysboston.com/
Back Bay,Daisy Buchanons ," 240 Newbury St, Boston, MA 02116",http://www.daisybuchanansboston.com/#&panel1-1
Back Bay,Red Lantern,"39 Stanhope St, Boston, MA 02116",http://www.redlanternboston.com/
Back Bay,Mini Bar Boston (Copley Sq Hotel),"51 Huntington Ave, Boston, MA 02116",http://www.minibarboston.com/
Back Bay,Lir ,"903 Boylston St, Boston, MA 02115",http://www.lironboylston.com/
Back Bay,Post 390,"406 Stuart St, Boston, MA 02116",http://post390restaurant.com/
Back Bay,Bar Lola,"160 Commonwealth Ave, Boston, MA 02116",http://www.barlola.com/
Back Bay,Oak Long Bar,"138 St James Ave, Boston, MA 02116",http://oaklongbarkitchen.com/
Back Bay,The Hawthorne,"500 A Commonwealth Ave, Boston, MA 02215",http://www.thehawthornebar.com/
Brighton/Allston,Deep Ellum,"477 Cambridge St, Boston, MA 02134",http://www.deepellum-boston.com/
Brighton/Allston,Sunset Cantina (Comm Ave),"916 Commonwealth Ave, Boston, MA 02215",http://www.allstonsfinest.com/welcome/
Brighton/Allston,Paradise Rock Club (Venue)," 967 Commonwealth Ave, Boston, MA 02215",http://crossroadspresents.com/paradise-rock-club/
Brighton/Allston,Silhouette Lounge,"200 Brighton Ave, Allston, MA 02134",
Brighton/Allston,Harry's,"1430 Commonwealth Ave, Brighton, MA 02135",http://www.harrysboston.com/
Brighton/Allston,Myung Dong,"90 Harvard Ave, Allston, MA 02134",http://www.myungdong1stave.com/
Brighton/Allston,The Avenue,"1249 Commonwealth Ave, Allston, MA 02134",http://www.avenuebar.com/
Brighton/Allston,Sunset Grill (Brighton Ave),"130 Brighton Ave, Allston, MA 02134",http://www.allstonsfinest.com/welcome/
Brighton/Allston,Tavern in the Square Allston,"161 Brighton Ave, Boston, MA 02134",http://www.taverninthesquare.com/
Brighton/Allston,Bus Stop Pub," 252 Western Ave, Allston, MA 02134",
Brighton/Allston,The Draft,"34 Harvard Ave, Boston, MA 02134",http://www.thedraftbarandgrille.com/
Brighton/Allston,Whitehouse Tavern,"116 Brighton Ave, Boston, MA 02134",http://www.whitehorseboston.com/
Brighton/Allston,Shanghai Social Club,"1277 Commonwealth Avenue, Allston, MA 02134",http://www.shanghaisocialclub.com/
Brighton/Allston,T's Pub," 973 Commonwealth Ave, Boston, MA 02215",http://tspub.com/
Brighton/Allston,O Brien's Pub,"3 Harvard Ave, Allston, MA 02134",http://www.obrienspubboston.com/
Brighton/Allston,Wonder Bar ,"186 Harvard Ave, Allston, MA 02134",http://wonderbarboston.com/
Brighton/Allston,Patrons (At Sunset Brighton Ave),"138 Brighton Ave, Allston, MA 02134",http://www.allstonsfinest.com/welcome/
Brighton/Allston,Lulu's Allston,"421 CAMBRIDGE STREET, ALLSTON, MA 02134",http://lulusallston.com/
Brighton/Allston,Model Café,"7 N Beacon St, Allston, MA 02134",
Brighton/Allston, Common Ground,"85 Harvard Ave, Allston, MA 02134",http://www.commongroundallston.com/
